player_id,skillcorner_name,fbref_name,player_dribbling_skill
592212,J.C. Ngando,Jean-Claude Ngando,2.0076475722053666
186348,Emmanuel Ochoa Rico,Emmanuel Iwe,1.664851016005929
43191,Jonathan Alexander Pérez,Jonathan Perez,1.267899212510751
43209,Edison Alexander Azcona Vélez,Edison Azcona,1.1394345029611412
36499,Robbie Robinson,Robbie Robinson,1.0614906837922504
13432,Ricard Puig Martí,Riqui Puig,1.028913766322625
23855,Kevin Molino,Kevin Molino,0.9619796540768352
128927,Brandan Craig,Brandon Cambridge,0.8166076190184943
27037,Thiago Martins Bueno,Thiago Martins,0.7368621968122506
38539,Edwin Stiven Mosquera Palacios,Edwin Mosquera,0.7159491570019111
12569,Ján Greguš,Ján Greguš,0.6975256838033118
2858,Douglas Costa de Souza,Douglas Costa,0.6956806114241151
3943,Giorgio Chiellini,Giorgio Chiellini,0.6863455252242215
5622,Junior Hoilett,Junior Hoilett,0.6816506048683633
27218,Andreu Fontàs Prat,Andreu Fontàs,0.6683150986901932
3357,Felipe Gutiérrez,Felipe Gutiérrez,0.6665270488351284
23718,Rudy Camacho,Rudy Camacho,0.6571411918136573
34515,Tim Melia,Tim Leibold,0.6501209724304745
19143,Tim Leibold,Tim Leibold,0.6501209724304745
620393,Levonte Johnson,Levonte Johnson,0.6409904304958993
24262,Sean Johnson,Levonte Johnson,0.6409904304958993
653191,Gino Vivi Quesada,Gino Vivi,0.6283996780079744
36574,Luis Barraza,Luis Díaz,0.62627380919937
36450,Carles Gil de Pareja Vicent,Carles Gil,0.6042423314304782
36617,Maxime Crépeau,Maxime Chanot,0.6003069339332502
332775,Célio Antonio Pompeu Pinheiro Martins,Célio Pompeu,0.5778143286419843
38292,Exon Gustavo Vallecilla Godoy,Gustavo Vallecilla,0.5673305616476999
26300,Thiago Ezequiel Almada,Thiago Almada,0.5575325287353653
36471,Matt Real,Matthew Real,0.5375725811549354
36491,Matt Bersano,Matthew Real,0.5375725811549354
36470,Matt Freese,Matthew Real,0.5375725811549354
4237,Héctor Miguel Herrera López,Héctor Herrera,0.5218918895209532
28742,Tomás Alejandro Chancalay,Tomás Chancalay,0.5125342284618778
25439,Emanuel Reynoso,Emanuel Reynoso,0.5091911686539836
332939,David Antonio Ochoa Posas,Antonio Carlos,0.5033642041785591
31607,Antônio Carlos Cunha Capocasali Junior,Antonio Carlos,0.5033642041785591
19526,Orrin McKinze Gaines II,McKinze Gaines,0.4993728605804264
43277,Andrew Brody,Andrew Brody,0.496612511388224
36557,Joel Robert Waterman,Joel Waterman,0.4857588066115013
14440,Maarten Paes,Max Arfsten,0.4822344946684244
332886,Maximilian Arfsten,Max Arfsten,0.4822344946684244
332870,Devin Padelford,Devin Padelford,0.4661721188242035
36529,Ryan Raposo,Ryan Raposo,0.4612633086066739
6286,Lorenzo Insigne,Lorenzo Insigne,0.4581517170352159
34512,Dante Sealy,Dante Sealy,0.4567212814852039
43192,Hunter Sulte,Dante Sealy,0.4567212814852039
27217,Graham Zusi,Graham Zusi,0.4512508245457659
46584,Ibrahim Sunusi,Graham Zusi,0.4512508245457659
8250,Oriol Rosell Argerich,Oriol Rosell,0.4505626486881204
6250,Lionel Andrés Messi Cuccittini,Lionel Messi,0.4470790806514833
14664,Logan Ndenbe,Logan Ndenbe,0.4456265414829445
27162,Ismael Tajouri-Shradi,Ismael Tajouri-Shradi,0.4425974859681869
24205,Jakob Glesnes,Jakob Glesnes,0.4407253351831297
25482,Nouhou Tolo,Nouhou Tolo,0.4385678518291368
153170,Ali Ahmed,Ali Ahmed,0.43505033024604
332802,Luka Gavran,Lucas Zelarayán,0.4329765370928625
25474,Steven Mehrdad Beitashour,Steven Moreira,0.4224077918736418
36479,Steve Clark,Steven Moreira,0.4224077918736418
24752,Steve Birnbaum,Steven Moreira,0.4224077918736418
10105,Steven Moreira,Steven Moreira,0.4224077918736418
28934,Mateusz Bogusz,Mateusz Bogusz,0.4196019110938968
27101,Danny Wilson,Danny Wilson,0.4090271593353854
31134,José Guillermo Rodríguez,Memo Rodriguez,0.4058255119985103
69262,Abraham Rodriguez,Memo Rodriguez,0.4058255119985103
156487,Missael Rodríguez Padilla,Memo Rodriguez,0.4058255119985103
110472,Dagur Dan Thórhallsson,Dagur Dan Þórhallsson,0.4025936778810938
224557,Brooklyn Raines,Brooklyn Raines,0.3994759766676758
116527,Julián Fernández,Julián Fernández,0.3983073098682601
14002,Juan Camilo Hernández Suárez,Julián Fernández,0.3983073098682601
127615,Ryan Spaulding,Ryan Spaulding,0.3956777932457531
568,Alexandre Nascimento Costa Silva,Xande Silva,0.3931837433560599
1108,Asier Illarramendi Andonegi,Asier Illarramendi,0.3864696769307829
31603,Rafael Lucas Cardoso dos Santos,Rafael Santos,0.3853906096922034
75760,Antony Alves Santos,Rafael Santos,0.3853906096922034
2610,Denis Bouanga,Denis Bouanga,0.3815270067013194
26472,Alan Agustín Velasco,Alan Velasco,0.3691050173844732
27168,Justin Haak,Justin Haak,0.3686232672796957
126074,Ian Murphy,Ian Murphy,0.3606386128209552
24253,Kamal Anthony Miller,Kamal Miller,0.3536843512075422
19060,Erik Thommy,Erik Thommy,0.3505044779663799
32149,Cristián Gonzalo Olivera Ibarra,Cristian Olivera,0.340255047790982
